Exercise,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
Single Arm Cable Half Kneeling Low Row,Novice,Back,Latissimus Dorsi,,,Cable,1,None,0,Half Kneeling,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Suspension Low Row,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Suspension Trainer,1,None,0,Standing,Single Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Horizontal Pull,Anti-Rotational,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Unsorted*
Single Arm Dumbbell Suitcase Deadlift,Novice,Back,Latissimus Dorsi,Obliques,,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Anti-Lateral Flexion,Hip Hinge,,Sagittal Plane,,,Full Body,Pull,Compound,Unilateral,Bodybuilding
Slider Single Arm Kettlebell Front Rack Ipsilateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Double Dumbbell Incline Bench Prone Row,Novice,Back,Latissimus Dorsi,,,Dumbbell,2,Bench (Incline),1,Prone,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Ring Archer Pull Up,Advanced,Back,Latissimus Dorsi,,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Alternating,Pronated,No Load,No Elevation,Single Exercise,Vertical Pull,,,Frontal Plane,,,Upper Body,Pull,Compound,Unilateral,Calisthenics
Double Dumbbell Renegade Row,Intermediate,Back,Latissimus Dorsi,,,Dumbbell,2,None,0,Prone,Double Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,Anti-Extension,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Barbell Conventional Deadlift,Novice,Back,Latissimus Dorsi,,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Powerlifting
Barbell Sumo Deadlift,Novice,Back,Latissimus Dorsi,Gluteus Maximus,Biceps Femoris,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Powerlifting
Barbell Rack Pull,Novice,Back,Latissimus Dorsi,,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Bodybuilding
Barbell Snatch Grip Deadlift,Intermediate,Back,Latissimus Dorsi,,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Bodybuilding
Barbell Pendlay Row,Novice,Back,Latissimus Dorsi,,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Stability Ball Hyperextension,Novice,Back,Erector Spinae,,,Stability Ball,1,None,0,Prone,Double Arm,Continuous,Head Supported,No Load,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Unsorted*,Unsorted*,Isolation,Bilateral,Unsorted*
Barbell Seated Good Morning,Intermediate,Back,Erector Spinae,,,Barbell,1,Bench (Flat),1,Seated,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Unsorted*,Unsorted*,Compound,Bilateral,Bodybuilding
Barbell Good Morning,Intermediate,Back,Erector Spinae,,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Unsorted*,Unsorted*,Compound,Bilateral,Bodybuilding
Bodyweight Wall Sit,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Wall Sit,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Lower Body,Other,Compound,Bilateral,Unsorted*
Bodyweight Wall Slide Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
Stability Ball Wall Slide Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Stability Ball,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
Suspension Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1,None,0,Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
Suspension Alternating Reverse Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Suspension Trainer,1,None,0,Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Squat to Bench,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,Bench (Flat),1,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Calisthenics
Bodyweight Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Calisthenics
Bodyweight Hand Assisted Split Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Split Squat,Single Arm,Continuous,Hand Assisted,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Walking Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Walking,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Goblet Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Miniband Romanian Deadlift,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Miniband,1,None,0,Standing,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding
Superband Resisted Skater Jump,Intermediate,Abductors,Gluteus Medius,Gluteus Maximus,,Superband,1,None,0,Single Leg Standing,No Arms,Continuous,No Grip,Other,No Elevation,Single Exercise,,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Plyometric
Cable Prone Single Leg Hamstring Curl,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Cable,1,None,0,Prone,No Arms,Continuous,No Grip,Other,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Unilateral,Bodybuilding
Bodyweight Candlestick Roll Up Tuck Jump,Intermediate,Glutes,Gluteus Maximus,,,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,,,,Sagittal Plane,,,Unsorted*,Unsorted*,Compound,Bilateral,Plyometric
Barbell Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Barbell,1,Bench (Flat),1,Supine,Double Arm,Continuous,Pronated,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Powerlifting
Barbell Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Barbell,1,None,0,Standing,Double Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Barbell Block Pull Deadlift,Novice,Back,Latissimus Dorsi,,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Bodybuilding
Barbell Box Back Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,Plyo Box,1,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
Barbell Deficit Deadlift,Intermediate,Back,Latissimus Dorsi,,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Feet Elevated,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Bodybuilding
Barbell Front Rack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Olympic Weightlifting
Barbell Glute Bridge,Novice,Glutes,Gluteus Maximus,,,Barbell,1,None,0,Bridge,Double Arm,Continuous,Pronated,Hip Crease,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Barbell Halting Deadlift,Novice,Back,Latissimus Dorsi,,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Bodybuilding
Barbell High Bar Back Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
Barbell Low Bar Back Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Powerlifting
Barbell Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Barbell Power Clean,Expert,Glutes,Gluteus Maximus,Biceps Femoris,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Olympic Weightlifting
Barbell Power Snatch,Expert,Glutes,Gluteus Maximus,Anterior Deltoids,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Olympic Weightlifting
Barbell Push Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*
Barbell Romanian Deadlift,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding
Barbell Bent Over Row,Novice,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Barbell Back Rack Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Split Squat,Double Arm,Continuous,Pronated,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Stiff Legged Deadlift,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding
Barbell Sumo Back Squat,Novice,Glutes,Gluteus Maximus,Quadriceps Femoris,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
Bodyweight Pistol Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Single Leg Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics
Bodyweight Skater Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Single Leg Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics
Cable Pull Through,Beginner,Glutes,Gluteus Maximus,,,Cable,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Double Dumbbell Suitcase Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,Bench (Flat),1,Single Leg Supported,Double Arm,Continuous,Neutral,Suitcase,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Suitcase Box Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,Plyo Box,1,Standing,Double Arm,Continuous,Neutral,Suitcase,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Suitcase Deficit Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,None,0,Split Squat,Double Arm,Continuous,Neutral,Suitcase,Feet Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Suitcase Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Suitcase Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Seated Reverse Fly,Beginner,Shoulders,Posterior Deltoids,,,Dumbbell,2,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Frontal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Double Dumbbell Suitcase Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,None,0,Split Squat,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Front Rack Alternating Box Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,Plyo Box,1,Standing,Double Arm,Continuous,Neutral,Front Rack,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Face the Wall Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
Bodyweight Feet Elevated Glute Bridge,Novice,Glutes,Gluteus Maximus,,,Bodyweight,1,Bench (Flat),1,Bridge,No Arms,Continuous,No Grip,No Load,Feet Elevated,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Front Rack Contralateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Kettlebell Overhead Contralateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Kettlebell Overhead Ipsilateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Overhead Contralateral Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Kettlebell Goblet Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell,1,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Miniband Thigh Monster Walk,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,None,0,Walking,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Abduction,,,Transverse Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Bodyweight Quadruped Hip Extension,Beginner,Glutes,Gluteus Maximus,,,Bodyweight,1,None,0,Quadruped,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Isolation,Unilateral,Unsorted*
Suspension Pistol Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1,None,0,Single Leg Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
Suspension Skater Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1,None,0,Single Leg Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
Bodyweight Tuck Jump,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Plyometric
Bodyweight Alternating Single Leg Wall Sit,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Lower Body,Other,Compound,Unilateral,Unsorted*
Bodyweight Single Leg Romanian Deadlift Jump,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Single Leg Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Other,Compound,Unilateral,Plyometric
Double Dumbbell Overhead Walking Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,None,0,Walking,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Stability Ball Double Dumbbell Suitcase Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Stability Ball,1,Dumbbell,2,Single Leg Supported,Double Arm,Continuous,Neutral,Suitcase,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Leg Extension,Novice,Quadriceps,Quadriceps Femoris,,,Bodyweight,1,None,0,Tall Kneeling,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Unsorted*,Isolation,Bilateral,Unsorted*
Bodyweight Alternating Lateral Bench Jump,Novice,Glutes,Gluteus Maximus,,,Bodyweight,1,Bench (Flat),1,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,,,,Frontal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Plyometric
Single Arm Dumbbell Front Rack Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Skater Jump,Intermediate,Abductors,Gluteus Medius,Adductor Magnus,,Bodyweight,1,None,0,Single Leg Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Plyometric
Slider Single Arm Dumbbell Front Rack Contralateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Dumbbell,1,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Cable Prone Bench Hamstring Curl,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Cable,1,Bench (Flat),1,Prone,No Arms,Continuous,No Grip,Other,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Bilateral,Bodybuilding
Bodyweight Bulgarian Split Squat Jump,Intermediate,Quadriceps,Quadriceps Femoris,,,Bodyweight,1,Bench (Flat),1,Single Leg Supported,No Arms,Continuous,No Grip,No Load,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Plyometric
Cable Standing Single Leg Hamstring Curl,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Cable,1,None,0,Single Leg Standing,No Arms,Continuous,Hand Assisted,Other,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Unilateral,Bodybuilding
Bodyweight Nordic Hamstring Curl,Advanced,Hamstrings,Biceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Tall Kneeling,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Bilateral,Unsorted*
Superband Assisted Pistol Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Superband,1,None,0,Single Leg Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
Slider Double Kettlebell Bottoms Up Front Rack Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell,2,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Front Rack Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Double Dumbbell Suitcase Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,None,0,Walking,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Back Rack Walking Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,2,None,0,Walking,Double Arm,Continuous,Pronated,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
